Date,Time,Activity,Variation,Training Type,Set #,Reps,Weight (lb),Notes
2025-06-19,,Leg press calf raise,,,,10,185,
2025-06-19,,Leg press,,,,10,185,
2025-06-19,,Leg press calf raise,,,,10,185,
2025-06-19,,Leg press,,,,5,185,
2025-06-19,,Leg press calf raise,,,,10,185,
2025-06-19,,Leg press,,,,10,185,
,,,,,,,,
,,,,,,,,
2025-06-16,,Bench press,flat,,,11,95,
2025-06-16,,Bench press,flat,,,5,135,
2025-06-16,,Bench press,flat,,,4,205,
2025-06-16,,Bench press,flat,,,10,165,
2025-06-16,,Lat pulldown,wide,,,10,9,
2025-06-16,,Bench press,Incline,,,10,95,
2025-06-16,,Lat pulldown,wide,,,5,12,
2025-06-16,,Bench press,Incline,,,5,115,
2025-06-16,,Lat pulldown,wide,,,10,11,
2025-06-16,,Bench press,Incline,,,5,135,
2025-06-16,,Bench press,Incline,,,1,165,
2025-06-16,,Bench press,Incline,,,5,145,
2025-06-16,,lever seated row,,,,6,8,
2025-06-16,,lever seated row,,,,7,13,
2025-06-16,,seated chest fly,,,,6,175,
2025-06-16,,lever seated row,,,,5,18,
2025-06-16,,seated chest fly,,,,5,175,
2025-06-16,,dip,,,,3,0,
2025-06-16,,lever seated row,,,,2,23,
2025-06-16,,lever seated row,,,,3,20,
2025-06-16,,dip,,,,2,0,
2025-06-16,,seated chest fly,,,,2,220,
2025-06-16,,seated chest fly,,,,3,175,
2025-06-16,,lever seated row,,,,8,15,
2025-06-16,,seated chest fly,,,,6,135,
2025-06-16,,seated chest fly,,,,5,130,
2025-06-16,,dip,,,,1,0,
2025-06-16,,T-bar row,,,,5,80,
2025-06-16,,T-bar row,,,,5,105,
2025-06-16,,T-bar row,,,,5,90,
2025-06-16,,T-bar row,,,,5,80,
2025-06-16,,Preacher curl,,,,5,15,
2025-06-16,,Preacher curl,,,,5,20,
2025-06-16,,Preacher curl,,,,2,25,
2025-06-16,,Preacher curl,,,,3,20,
2025-06-16,,Preacher curl,,,,5,20,
2025-06-16,,Preacher curl,,,,10,15,
2025-06-16,,Preacher curl,,,,7,15,
2025-06-16,,Preacher curl,,,,7,15,
2025-06-16,,Wrist curls ,Reverse,,,5,15,
2025-06-16,,Wrist curls ,,,,5,15,
2025-06-16,,Wrist curls ,Reverse,,,5,20,
2025-06-16,,Wrist curls ,,,,10,20,
2025-06-16,,Wrist curls ,Reverse,,,4,20,
2025-06-16,,Wrist curls ,,,,12,20,
2025-06-16,,Wrist curls ,Reverse,,,4,20,
2025-06-16,,Wrist curls ,,,,12,20,
,,,,,,,,
,,,,,,,,
2025-07-21,,Bench press,,,,10,135,
2025-07-21,,Bench press,,,,3,205,
2025-07-21,,Bench press,,,,2,205,
2025-07-21,,Bench press,,,,5,205,
2025-07-21,,Bench press,,,,5,105,
2025-07-21,,Bench press,,,,4,105,
2025-07-21,,Bench press,,,,3,105,
2025-07-21,,Bench press,,,,2,105,
2025-07-21,,Bench press,,,,5,95,
2025-07-21,,Bench press,,,,6,145,
2025-07-21,,Lat pulldown,wide,,,5,11,
2025-07-21,,Bench press,Incline,,,5,95,
2025-07-21,,Lat pulldown,wide,,,4,13,
2025-07-21,,Bench press,Incline,,,5,135,
2025-07-21,,Bench press,Incline,,,5,115,
2025-07-21,,Lat pulldown,wide,,,7,12,
2025-07-21,,Lat pulldown,wide,,,5,12,
2025-07-21,,Bench press,Incline,,,5,145,
2025-07-21,,Lat pulldown,wide,,,10,11,
2025-07-21,,Bench press,Incline,,,5,145,
2025-07-21,,Lat pulldown,wide,,,5,11,
2025-07-21,,Bench press,Incline,,,3,145,
2025-07-21,,Lat pulldown,wide,,,10,11,
2025-07-21,,lever seated row,wide,,,5,13,
2025-07-21,,seated chest fly,,,,10,145,
2025-07-21,,lever seated row,,,,3,17,
2025-07-21,,lever seated row,,,,2,15,
2025-07-21,,seated chest fly,,,,3,205,
2025-07-21,,seated chest fly,,,,1,190,
2025-07-21,,dips,,,,4,0,
2025-07-21,,lever seated row,,,,4,17,
2025-07-21,,lever seated row,,,,3,15,
2025-07-21,,seated chest fly,,,,3,175,
2025-07-21,,seated chest fly,,,,2,145,
2025-07-21,,dips,,,,5,0,
2025-07-21,,lever seated row,,,,2,17,
2025-07-21,,lever seated row,,,,3,15,
2025-07-21,,seated chest fly,,,,5,160,
2025-07-21,,dips,,,,3,0,
2025-07-21,,lever seated row,,,,4,16,
2025-07-21,,T-bar row,,,,5,80,
2025-07-21,,T-bar row,,,,5,115,
2025-07-21,,T-bar row,,,,5,150,
2025-07-21,,Preacher curl,,,,1,20,
2025-07-21,,T-bar row,,,,4,150,
2025-07-21,,Preacher curl,,,,5,25,
2025-07-21,,Preacher curl,,,,5,25,
