Date,Time,Activity,Variation,Training Type,Set #,Reps,Weight (lb),Notes,Weight_Unit
2025-07-21,,seated chest fly,,,,1.0,190.0,,kg
2025-07-21,,dips,,,,4.0,0.0,,kg
2025-07-21,,lever seated row,,,,4.0,17.0,,level
2025-07-21,,lever seated row,,,,3.0,15.0,,level
2025-07-21,,seated chest fly,,,,3.0,175.0,,kg
2025-07-21,,seated chest fly,,,,2.0,145.0,,kg
2025-07-21,,dips,,,,5.0,0.0,,kg
2025-07-21,,lever seated row,,,,2.0,17.0,,level
2025-07-21,,lever seated row,,,,3.0,15.0,,level
2025-07-21,,seated chest fly,,,,5.0,160.0,,kg
2025-07-21,,dips,,,,3.0,0.0,,kg
2025-07-21,,lever seated row,,,,4.0,16.0,,level
2025-07-21,,t-bar row,,,,5.0,80.0,,kg
2025-07-21,,t-bar row,,,,5.0,115.0,,kg
2025-07-21,,t-bar row,,,,5.0,150.0,,kg
2025-07-21,,preacher curl,,,,1.0,20.0,,kg
2025-07-21,,t-bar row,,,,4.0,150.0,,kg
2025-07-21,,preacher curl,,,,5.0,25.0,,kg
2025-07-21,,preacher curl,,,,5.0,25.0,,kg
2025-07-21,,preacher curl,,,,3.0,25.0,,kg
2025-07-21,,preacher curl,,,,2.0,20.0,,kg
2025-07-21,,preacher curl,,,,6.0,20.0,,kg
2025-07-21,,wrist curls,reverse,,,5.0,20.0,,kg
2025-07-21,,wrist curls,,,,10.0,20.0,,kg
